DR_NO;Date Rptd;DATE OCC;TIME OCC;AREA;AREA NAME;Rpt Dist No;Part 1-2;Crm Cd;Crm Cd Desc;Mocodes;Vict Age;Vict Sex;Vict Descent;Premis Cd;Premis Desc;Weapon Used Cd;Weapon Desc;Status;Status Desc;Crm Cd 1;Crm Cd 2;Crm Cd 3;Crm Cd 4;LOCATION;Cross Street;LAT;LON
221804943;01/21/2022 12:00:00 AM;07/01/2020 00:00;1335;18;Southeast;1822;2;354;THEFT OF IDENTITY;1822 0930;26;M;B;501;SINGLE FAMILY DWELLING;;;IC;Invest Cont;354;;;;100 W  COLDEN                       AV;;339.492;-1.182.739
221908151;04/12/2022 00:00;10/01/2020 00:00;1;19;Mission;1988;1;821;SODOMY/SEXUAL CONTACT B/W PENIS OF ONE PERS TO ANUS OTH;0913 2024 1817 0360 1258 0507;8;F;H;501;SINGLE FAMILY DWELLING;400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);IC;Invest Cont;812;821;;;13400    RANGOON                      ST;;342.285;-1.184.258
230204214;01/05/2023 00:00;02/01/2020 00:00;800;2;Rampart;201;2;812;CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER);1251 1258 0913 0400 0500 0522 1817;7;F;W;502;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);IC;Invest Cont;812;860;;;900 N  MARIPOSA                     AV;;340.868;-1.182.991
221008844;05/06/2022 00:00;11/01/2020 00:00;130;10;West Valley;1029;1;510;VEHICLE - STOLEN;;0;;;101;STREET;;;IC;Invest Cont;510;;;;VALJEAN                      ST;VANOWEN                      AV;341.939;-1.184.859
230312288;06/01/2023 00:00;02/02/2020 00:00;315;3;Southwest;391;2;354;THEFT OF IDENTITY;0100 0928 0929 0935 1822;56;M;B;502;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);;;IC;Invest Cont;354;;;;4200    SANTO TOMAS                  DR;;340.103;-1.183.456
231805781;02/03/2023 00:00;07/01/2020 00:00;805;18;Southeast;1802;2;354;THEFT OF IDENTITY;0928 1822;22;F;B;502;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);;;IC;Invest Cont;354;;;;400 W  90TH                         ST;;339.551;-1.182.814
231322474;12/24/2023 12:00:00 AM;01/09/2020 00:00;1200;13;Newton;1354;2;354;THEFT OF IDENTITY;100;23;M;B;501;SINGLE FAMILY DWELLING;;;IC;Invest Cont;354;;;;4000    WALL                         ST;;340.112;-1.182.716
210705560;11/27/2020 12:00:00 AM;11/27/2020 12:00:00 AM;1800;7;Wilshire;776;1;230;ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT;1309 0400;31;F;O;101;STREET;307;VEHICLE;AA;Adult Arrest;230;;;;4500    LOMITA                       ST;;340.452;-1.183.351
221016258;09/20/2022 12:00:00 AM;01/01/2020 00:00;1;10;West Valley;1067;2;956;LETTERS, LEWD  -  TELEPHONE CALLS, LEWD;2041 1906 1822;30;F;O;501;SINGLE FAMILY DWELLING;;;IC;Invest Cont;956;;;;5200    GENESTA                      AV;;34.166;-1.185.033
220705246;02/03/2022 00:00;02/11/2020 00:00;1200;7;Wilshire;747;1;341;THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD;;57;F;B;501;SINGLE FAMILY DWELLING;;;IC;Invest Cont;341;;;;800 S  TREMAINE                     AV;;340.608;-1.183.359
230808643;04/25/2023 12:00:00 AM;01/01/2020 00:00;800;8;West LA;801;1;341;THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD;0352 1822 0344;56;F;W;501;SINGLE FAMILY DWELLING;;;IC;Invest Cont;341;;;;16700    MONTE HERMOSO                DR;;340.677;-118.552
231907172;03/21/2023 12:00:00 AM;03/15/2020 12:00:00 AM;1200;19;Mission;1983;2;812;CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER);1259 0913 1817 1801 0503;12;F;H;502;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);AO;Adult Other;812;860;;;8500    COLUMBUS                     AV;;342.246;-1.184.654
232011098;06/04/2023 00:00;07/01/2020 00:00;1200;20;Olympic;2088;2;812;CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER);1251 1258 0400 0522 0913 0551 2021;7;F;H;502;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);IC;Invest Cont;812;860;;;1700 S  WESTMORELAND                 AV;;340.433;-1.182.892
200412582;09/09/2020 00:00;09/09/2020 00:00;630;4;Hollenbeck;413;1;510;VEHICLE - STOLEN;;0;;;101;STREET;;;IC;Invest Cont;510;;;;200 E  AVENUE 28;;34.082;-118.213
232112438;08/03/2023 00:00;07/01/2020 00:00;1200;21;Topanga;2157;2;354;THEFT OF IDENTITY;1822 0929 0930;46;M;B;751;WEBSITE;;;IC;Invest Cont;354;;;;21000    VANOWEN                      ST;;341.938;-1.185.906
221105176;02/02/2022 00:00;02/09/2020 00:00;1200;11;Northeast;1132;2;930;CRIMINAL THREATS - NO WEAPON DISPLAYED;1912 0913;30;F;W;501;SINGLE FAMILY DWELLING;500;UNKNOWN WEAPON/OTHER WEAPON;AO;Adult Other;930;;;;2800    WAVERLY                      DR;;341.084;-1.182.639
222106031;02/23/2022 12:00:00 AM;08/14/2020 12:00:00 AM;1300;21;Topanga;2113;2;668;EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER);;0;;;203;OTHER BUSINESS;;;IC;Invest Cont;668;;;;7700    SAUSALITO                    AV;;342.105;-1.186.157
200209713;05/03/2020 00:00;05/02/2020 00:00;1800;2;Rampart;245;1;510;VEHICLE - STOLEN;;0;;;101;STREET;;;IC;Invest Cont;510;;;;2500 W  4TH                          ST;;340.642;-1.182.771
211209197;03/20/2021 12:00:00 AM;07/01/2020 00:00;1425;12;77th Street;1243;2;354;THEFT OF IDENTITY;928;51;M;B;501;SINGLE FAMILY DWELLING;;;IC;Invest Cont;354;;;;1600 W  67TH                         ST;;339.785;-1.183.068
220808837;04/28/2022 12:00:00 AM;03/30/2020 12:00:00 AM;1630;8;West LA;842;2;624;BATTERY - SIMPLE ASSAULT;2000 1813 0913 0416;24;F;O;501;SINGLE FAMILY DWELLING;400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);IC;Invest Cont;624;;;;1200 S  WESTGATE                     AV;;340.474;-1.184.635
231207725;02/27/2023 12:00:00 AM;01/27/2020 12:00:00 AM;635;12;77th Street;1242;2;354;THEFT OF IDENTITY;0100 0917 1822;37;M;H;501;SINGLE FAMILY DWELLING;;;IC;Invest Cont;354;;;;6200    4TH                          AV;;339.837;-1.183.216
231205231;01/17/2023 12:00:00 AM;01/01/2020 00:00;1535;12;77th Street;1268;2;354;THEFT OF IDENTITY;0100 0928;27;M;H;501;SINGLE FAMILY DWELLING;;;IC;Invest Cont;354;;;;100 E  85TH                         ST;;33.961;-1.182.739
231108757;05/09/2023 00:00;05/08/2020 00:00;2023;11;Northeast;1101;1;330;BURGLARY FROM VEHICLE;0344 1302 1307;20;M;A;108;PARKING LOT;;;IC;Invest Cont;330;;;;2800 E  OBSERVATORY                  RD;;341.192;-1.183.004
221404806;01/19/2022 12:00:00 AM;01/18/2020 12:00:00 AM;1600;14;Pacific;1446;1;420;THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER);;0;;;101;STREET;;;IC;Invest Cont;420;;;;WASHINGTON                   PL;INGLEWOOD;340.022;-1.184.255
220215983;09/06/2022 00:00;05/26/2020 12:00:00 AM;1200;2;Rampart;233;1;420;THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER);;0;;;101;STREET;;;IC;Invest Cont;420;;;;200 S  CORONADO                     ST;;340.697;-1.182.779
211220472;09/27/2021 12:00:00 AM;11/26/2020 12:00:00 AM;2000;12;77th Street;1259;2;930;CRIMINAL THREATS - NO WEAPON DISPLAYED;0913 0400 0443 1814 2000;29;F;H;502;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);511;VERBAL THREAT;AO;Adult Other;930;;;;7800 S  SAN PEDRO                    ST;;339.679;-1.182.695
211818877;10/22/2021 12:00:00 AM;03/10/2020 00:00;1500;18;Southeast;1801;2;354;THEFT OF IDENTITY;0100 1822 0930 0922;26;M;B;501;SINGLE FAMILY DWELLING;;;IC;Invest Cont;354;;;;8700    ORCHARD                      AV;;339.587;-1.182.882
221515929;10/10/2022 00:00;04/01/2020 00:00;1200;15;N Hollywood;1539;2;354;THEFT OF IDENTITY;377;33;M;W;501;SINGLE FAMILY DWELLING;;;IC;Invest Cont;354;;;;5700    CARTWRIGHT                   AV;;34.174;-1.183.638
230406865;03/28/2023 12:00:00 AM;06/28/2020 12:00:00 AM;1250;4;Hollenbeck;478;2;354;THEFT OF IDENTITY;100;34;F;B;504;OTHER RESIDENCE;;;IC;Invest Cont;354;;;;3400    PERCY                        ST;;340.286;-1.181.996
231915767;10/25/2023 12:00:00 AM;09/02/2020 00:00;1;19;Mission;1985;2;354;THEFT OF IDENTITY;917;15;F;H;501;SINGLE FAMILY DWELLING;;;IC;Invest Cont;354;;;;8700    TOBIAS                       AV;;34.228;-1.184.517
221016530;11/15/2022 12:00:00 AM;10/23/2020 12:00:00 AM;1735;10;West Valley;1045;2;354;THEFT OF IDENTITY;1822 0935 1202;65;M;W;501;SINGLE FAMILY DWELLING;;;IC;Invest Cont;354;;;;17900    EMELITA                      ST;;341.776;-118.523
231210407;04/18/2023 12:00:00 AM;01/01/2020 00:00;1;12;77th Street;1259;2;354;THEFT OF IDENTITY;0930 0929 0928 1822;59;F;W;501;SINGLE FAMILY DWELLING;;;IC;Invest Cont;354;;;;700 E  73RD                         ST;;339.739;-118.263
220208037;03/30/2022 12:00:00 AM;01/01/2020 00:00;800;2;Rampart;249;2;813;CHILD ANNOYING (17YRS & UNDER);1822 0359 1251 1259;15;F;H;502;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);;;IC;Invest Cont;813;;;;1100 W  6TH                          ST;;340.541;-1.182.621
221504294;01/06/2022 00:00;10/30/2020 12:00:00 AM;1;15;N Hollywood;1535;2;812;CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER);0522 0500 1258;9;M;W;501;SINGLE FAMILY DWELLING;500;UNKNOWN WEAPON/OTHER WEAPON;AA;Adult Arrest;812;;;;5700    COLFAX                       AV;;34.174;-1.183.878
221312369;06/03/2022 00:00;12/10/2020 00:00;700;13;Newton;1333;2;354;THEFT OF IDENTITY;100;33;M;H;750;CYBERSPACE;;;IC;Invest Cont;354;;;;2700 S  CENTRAL                      AV;;340.174;-1.182.621
220911866;07/26/2022 12:00:00 AM;02/01/2020 00:00;505;9;Van Nuys;971;2;354;THEFT OF IDENTITY;0922 0929 0923 0930;34;F;W;605;AUTOMATED TELLER MACHINE (ATM);;;IC;Invest Cont;354;;;;15200    LA MAIDA                     ST;;341.585;-118.464
231906599;03/03/2023 00:00;01/14/2020 12:00:00 AM;1335;19;Mission;1902;2;354;THEFT OF IDENTITY;928;35;M;O;501;SINGLE FAMILY DWELLING;;;IC;Invest Cont;354;;;;14500    WILLOWGREEN                  LN;;343.194;-1.184.518
220321807;12/13/2022 12:00:00 AM;05/17/2020 12:00:00 AM;1620;3;Southwest;317;2;354;THEFT OF IDENTITY;0929 1822 0100 0930 0922;50;M;B;501;SINGLE FAMILY DWELLING;;;IC;Invest Cont;354;;;;1400 W  25TH                         ST;;340.337;-1.182.915
221216052;07/07/2022 00:00;02/23/2020 12:00:00 AM;1000;12;77th Street;1256;2;354;THEFT OF IDENTITY;100;28;F;B;502;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);;;IC;Invest Cont;354;;;;500 W  75TH                         ST;;339.717;-1.182.827
220508440;04/27/2022 12:00:00 AM;07/07/2020 00:00;1200;5;Harbor;585;1;341;THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD;0344 1202 1606;64;M;H;501;SINGLE FAMILY DWELLING;;;IC;Invest Cont;341;;;;2300 S  MEYLER                       ST;;337.234;-1.182.968
220213256;07/14/2022 12:00:00 AM;07/14/2020 12:00:00 AM;900;2;Rampart;257;2;354;THEFT OF IDENTITY;0100 0928 1202;79;M;B;502;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);;;IC;Invest Cont;354;;;;1200 W  7TH                          ST;;340.552;-1.182.675
221607555;04/22/2022 12:00:00 AM;08/01/2020 00:00;1200;16;Foothill;1612;2;354;THEFT OF IDENTITY;928;40;F;H;501;SINGLE FAMILY DWELLING;;;IC;Invest Cont;354;;;;11100    HERRICK                      AV;;342.713;-118.415
221516944;11/03/2022 00:00;06/01/2020 00:00;1200;15;N Hollywood;1517;2;354;THEFT OF IDENTITY;1817;59;M;O;203;OTHER BUSINESS;;;IC;Invest Cont;354;;;;6700    BAKMAN                       AV;;341.925;-1.183.779
230617817;11/14/2023 12:00:00 AM;11/13/2020 12:00:00 AM;2015;6;Hollywood;622;1;420;THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER);;0;;;108;PARKING LOT;;;IC;Invest Cont;420;;;;7200    FRANKLIN                     AV;;341.146;-1.183.607
231115685;11/12/2023 00:00;11/12/2020 00:00;1430;11;Northeast;1123;1;440;THEFT PLAIN - PETTY ($950 & UNDER);344;27;M;W;108;PARKING LOT;;;IC;Invest Cont;440;;;;3300    GLENDALE                     BL;;341.142;-1.182.652
231707687;04/04/2023 00:00;05/08/2020 00:00;1845;17;Devonshire;1745;2;354;THEFT OF IDENTITY;0917 0929;44;M;O;501;SINGLE FAMILY DWELLING;;;IC;Invest Cont;354;;;;17100    CHATSWORTH                   ST;;342.648;-1.185.055
230711357;06/26/2023 12:00:00 AM;01/01/2020 00:00;1;7;Wilshire;774;2;354;THEFT OF IDENTITY;1501;32;F;H;502;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);;;IC;Invest Cont;354;;;;4900 W  WASHINGTON                   BL;;340.431;-1.183.482
220409258;05/29/2022 12:00:00 AM;03/29/2020 12:00:00 AM;1315;4;Hollenbeck;467;2;354;THEFT OF IDENTITY;100;16;M;H;504;OTHER RESIDENCE;;;IC;Invest Cont;354;;;;2600 E  4TH                          ST;;340.395;-1.182.093
220119956;09/06/2022 00:00;07/01/2020 00:00;1130;1;Central;162;2;354;THEFT OF IDENTITY;0928 1822;22;F;B;750;CYBERSPACE;;;IC;Invest Cont;354;;;;800 S  HOPE                         ST;;340.466;-118.259
240604173;01/05/2024 00:00;07/09/2020 00:00;1230;6;Hollywood;637;2;354;THEFT OF IDENTITY;928;21;M;W;502;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);;;IC;Invest Cont;354;;;;6200    HOLLYWOOD                    BL;;34.103;-1.183.225
220104934;01/17/2022 12:00:00 AM;12/20/2020 12:00:00 AM;1730;1;Central;158;1;341;THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD;1822 1414 0947 0344;0;X;X;102;SIDEWALK;;;IC;Invest Cont;341;;;;6TH                          ST;GLADYS                       AV;340.403;-1.182.421
230817493;11/27/2023 12:00:00 AM;09/13/2020 12:00:00 AM;2100;8;West LA;829;2;626;INTIMATE PARTNER - SIMPLE ASSAULT;1814 0913 0400;42;F;H;501;SINGLE FAMILY DWELLING;400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);IC;Invest Cont;626;;;;1700    COMSTOCK                     AV;;340.596;-1.184.233
221718084;12/20/2022 12:00:00 AM;12/02/2020 00:00;1510;17;Devonshire;1764;1;440;THEFT PLAIN - PETTY ($950 & UNDER);344;15;F;H;404;DEPARTMENT STORE;;;IC;Invest Cont;440;;;;9300    TAMPA                        AV;;34.244;-1.185.583
221110929;06/28/2022 12:00:00 AM;06/27/2020 12:00:00 AM;1945;11;Northeast;1113;1;330;BURGLARY FROM VEHICLE;344;34;F;W;108;PARKING LOT;;;IC;Invest Cont;330;;;;2800    COLORADO                     BL;;341.428;-1.182.261
231711735;06/07/2023 00:00;09/02/2020 00:00;800;17;Devonshire;1775;2;354;THEFT OF IDENTITY;0929 1822;46;F;H;501;SINGLE FAMILY DWELLING;;;IC;Invest Cont;354;;;;17400    NORDHOFF                     ST;;342.394;-1.185.112
231912127;07/26/2023 12:00:00 AM;01/26/2020 12:00:00 AM;1735;19;Mission;1913;2;354;THEFT OF IDENTITY;923;46;F;H;501;SINGLE FAMILY DWELLING;;;IC;Invest Cont;354;;;;14600    NURMI                        ST;;34.307;-1.184.521
231818830;11/01/2023 00:00;01/01/2020 00:00;1;18;Southeast;1841;2;762;LEWD CONDUCT;0913 0602 0360 0545 0536 0531 1258;6;M;B;501;SINGLE FAMILY DWELLING;;;IC;Invest Cont;762;;;;500 W  108TH                        ST;;339.383;-1.182.826
221710268;06/21/2022 12:00:00 AM;05/20/2020 12:00:00 AM;600;17;Devonshire;1767;1;441;THEFT PLAIN - ATTEMPT;0352 0344 1202 2004 2021 0913 1817;72;F;H;501;SINGLE FAMILY DWELLING;;;IC;Invest Cont;441;;;;18600    PRAIRIE                      ST;;342.442;-1.185.362
231007464;03/30/2023 12:00:00 AM;06/25/2020 12:00:00 AM;1225;10;West Valley;1015;2;354;THEFT OF IDENTITY;1822 0929;28;F;H;501;SINGLE FAMILY DWELLING;;;IC;Invest Cont;354;;;;7400    JAMIESON                     AV;;342.048;-1.185.219
221917823;12/12/2022 00:00;04/05/2020 00:00;1550;19;Mission;1921;2;354;THEFT OF IDENTITY;;23;M;B;501;SINGLE FAMILY DWELLING;;;IC;Invest Cont;354;;;;15400    EL CAJON                     ST;;343.054;-1.184.681
211404152;01/04/2021 00:00;12/28/2020 12:00:00 AM;1600;14;Pacific;1463;1;310;BURGLARY;0397 0344;44;F;H;221;PUBLIC STORAGE;;;IC;Invest Cont;310;;;;12600 W  JEFFERSON                    BL;;339.788;-1.184.151
231205374;01/25/2023 12:00:00 AM;10/12/2020 00:00;1200;12;77th Street;1263;2;354;THEFT OF IDENTITY;0100 0930 1822;35;M;B;501;SINGLE FAMILY DWELLING;;;IC;Invest Cont;354;;;;8300 S  HARVARD                      BL;;339.636;-1.183.068
231505589;02/08/2023 00:00;09/01/2020 00:00;1200;15;N Hollywood;1557;2;812;CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER);0400 0416;10;F;W;502;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);IC;Invest Cont;812;860;;;10800    HORTENSE                     ST;;341.548;-1.183.662
231420506;11/06/2023 00:00;04/02/2020 00:00;1825;14;Pacific;1445;2;354;THEFT OF IDENTITY;928;60;F;B;502;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);;;IC;Invest Cont;354;;;;12700    PACIFIC                      AV;;339.993;-1.184.397
221508505;04/20/2022 12:00:00 AM;12/31/2020 12:00:00 AM;1200;15;N Hollywood;1525;1;420;THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER);;0;;;101;STREET;;;IC;Invest Cont;420;;;;5900    CARPENTER                    AV;;341.776;-1.183.889
231817823;10/13/2023 12:00:00 AM;08/23/2020 12:00:00 AM;1;18;Southeast;1846;2;354;THEFT OF IDENTITY;1822 0100 0344;32;F;H;501;SINGLE FAMILY DWELLING;;;IC;Invest Cont;354;;;;1500 E  112TH                        ST;;339.332;-1.182.485
231212586;05/24/2023 12:00:00 AM;06/03/2020 00:00;2150;12;77th Street;1241;2;354;THEFT OF IDENTITY;1822 0930 0929;36;F;B;502;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);;;IC;Invest Cont;354;;;;6400    8TH                          AV;;339.821;-1.183.318
220309099;04/14/2022 12:00:00 AM;06/23/2020 12:00:00 AM;1530;3;Southwest;311;2;354;THEFT OF IDENTITY;0100 0925 0930 1202 1822;72;F;B;502;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);;;IC;Invest Cont;354;;;;2600    CARMONA                      AV;;340.325;-1.183.639
201810154;04/26/2020 12:00:00 AM;04/22/2020 12:00:00 AM;1900;18;Southeast;1802;1;510;VEHICLE - STOLEN;;0;;;101;STREET;;;IC;Invest Cont;510;;;;90TH;WALL;339.547;-1.182.717
221412410;06/15/2022 12:00:00 AM;11/12/2020 00:00;1700;14;Pacific;1444;1;420;THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER);;0;;;101;STREET;;;IC;Invest Cont;420;;;;13600    MARINA POINT                 DR;;339.876;-1.184.489
211505284;02/02/2021 00:00;12/27/2020 12:00:00 AM;2000;15;N Hollywood;1585;1;330;BURGLARY FROM VEHICLE;1300 0344;18;F;H;707;GARAGE/CARPORT;;;IC;Invest Cont;330;;;;10900    BLUFFSIDE                    DR;;341.412;-1.183.681
220209598;04/25/2022 12:00:00 AM;12/29/2020 12:00:00 AM;800;2;Rampart;238;2;956;LETTERS, LEWD  -  TELEPHONE CALLS, LEWD;0913 1817 1906;27;F;B;501;SINGLE FAMILY DWELLING;;;AO;Adult Other;956;;;;1300    ANGELINA                     ST;;340.648;-1.182.559
220316688;09/12/2022 00:00;09/11/2020 00:00;2100;3;Southwest;357;1;331;THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER);0344 0385 1251 1300 1606 1822 0329 1309;27;F;O;101;STREET;;;IC;Invest Cont;331;;;;1300 W  37TH                         DR;;340.191;-1.182.977
231814007;07/27/2023 12:00:00 AM;10/27/2020 12:00:00 AM;915;18;Southeast;1849;2;354;THEFT OF IDENTITY;0928 1822;29;F;B;502;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);;;IC;Invest Cont;354;;;;2200 E  111TH                        ST;;339.345;-1.182.329
222004619;12/21/2020 12:00:00 AM;12/20/2020 12:00:00 AM;1529;20;Olympic;2069;1;341;THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD;0344 1202 1822 2032;63;M;K;702;OFFICE BUILDING/OFFICE;;;IC;Invest Cont;341;;;;2500 W  OLYMPIC                      BL;;340.524;-1.182.842
220208989;04/14/2022 12:00:00 AM;04/14/2020 12:00:00 AM;945;2;Rampart;256;2;354;THEFT OF IDENTITY;100;28;M;O;501;SINGLE FAMILY DWELLING;;;IC;Invest Cont;354;;;;600 S  UNION                        AV;;340.565;-1.182.724
221209581;04/07/2022 00:00;01/01/2020 00:00;800;12;77th Street;1215;2;812;CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER);1258 0913 0602 0522 0556 0400;9;F;H;501;SINGLE FAMILY DWELLING;400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);AO;Adult Other;812;860;;;5500 S  VERMONT                      AV;;339.921;-118.298
220917870;12/31/2022 12:00:00 AM;03/16/2020 12:00:00 AM;1025;9;Van Nuys;929;2;354;THEFT OF IDENTITY;0100 0928 0344 1822;41;F;O;501;SINGLE FAMILY DWELLING;;;IC;Invest Cont;354;;;;6500    WOODMAN                      AV;;341.887;-1.184.313
221017007;11/28/2022 12:00:00 AM;04/23/2020 12:00:00 AM;1;10;West Valley;1041;2;354;THEFT OF IDENTITY;1822;44;F;W;501;SINGLE FAMILY DWELLING;;;IC;Invest Cont;354;;;;6000    DONNA                        AV;;341.787;-1.185.475
232112058;07/25/2023 12:00:00 AM;04/26/2020 12:00:00 AM;2110;21;Topanga;2198;2;956;LETTERS, LEWD  -  TELEPHONE CALLS, LEWD;1906;17;F;W;501;SINGLE FAMILY DWELLING;;;IC;Invest Cont;956;;;;4500    CEZANNE                      AV;;341.484;-1.186.033
220313293;07/06/2022 00:00;06/30/2020 12:00:00 AM;1400;3;Southwest;396;2;626;INTIMATE PARTNER - SIMPLE ASSAULT;0913 2000 1814 0416 0446;25;F;B;501;SINGLE FAMILY DWELLING;400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);IC;Invest Cont;626;;;;VERMONT                      AV;43RD                         ST;340.055;-1.182.915
220320985;07/07/2023 00:00;01/01/2020 00:00;1200;3;Southwest;311;2;813;CHILD ANNOYING (17YRS & UNDER);;5;F;H;501;SINGLE FAMILY DWELLING;;;AA;Adult Arrest;813;;;;5500    GEER                         ST;;340.301;-1.183.636
